,entidad,tipo,BMDS,FECHA,intrumento,inst_text,tipo convocatoria,tipo_text,presupuesto,sector,region,finalidad,convocatoria_esp,convocatoria_coo,tipo_beneficiario,base_reguladora,http_reguladora,diario_of,continuo,validez,inicio,final,sa_number,cofinanciado
0,ESTADO,MINISTERIO DE CIENCIA E INNOVACIÓN,483922,27/11/2019,Instrumento de ayuda,PRÉSTAMOS,Tipo de convocatoria,Concesión directa - instrumental,"94,000,000.00 €","ACTIVIDADES PROFESIONALES, CIENTÍ?FICAS Y TÉCNICAS",ES42 - CASTILLA LA MANCHA,"INVESTIGACIÓN, DESARROLLO E INNOVACIÓN",Ayudas del Centro para el Desarrollo Tecnologico Industrial E.P.E. a la inversión para potenciar el crecimiento de empresas innovadoras.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Ley 14/2011, de 1 de junio, de la Ciencia, la Tecnologia y la Innovacion.",https://www.boe.es/buscar/act.php?id=BOE-A-2011-9617,No,Sí,,,,SA.45544,FEDER - FONDO EUROPEO DE DESARROLLO REGIONAL
1,CATALUÑA,INSTITUT CATALÀ D'ENERGIA (ICAEN),483919,27/11/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"48,087,742.46 €",INDUSTRIA MANUFACTURERA,ES51 - CATALUÑA,INDUSTRIA Y ENERGÍA,Programa ayudas FNEE - INDUSTRIA.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Real Decreto 263/2019, de 12 de abril, por el que se regula el Programa de ayudas para actuaciones de eficiencia energética en PYME y gran empresa del sector industrial.",https://www.boe.es/boe/dias/2019/04/13/pdfs/BOE-A-2019-5570.pdf,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.","al dia siguiente al de la publicación de la presente Resolución, a las 9.00 horas",31 de diciembre de 2020,SA.54269,
2,TOLOSA,AYUNTAMIENTO DE TOLOSA,483908,27/11/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - canónica,"7,110.00 €",EDUCACIÓN,ES212 - Gipuzkoa,EDUCACIÓN,Convenio de colaboración con Usabalgo Laskorain Ikastola.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,Convenio de colaboración con Usabalgo Laskorain Ikastola,www.tolosa.eus,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",21/06/2019,,,
3,VALLADOLID,AYUNTAMIENTO DE VALLADOLID,483894,27/11/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"84,141.69 €",Actividades deportivas,ES418 - Valladolid,CULTURA,CONVENIO TROFEO CIUDAD DE VALLADOLID 2019.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,REGLAMENTO GENERAL DE SUBVENCIONES DEL AYUNTAMIENTO DE VALLADOLID,https://bop.sede.diputaciondevalladolid.es/boletines/2006/marzo/09/ref_2006_1468.pdf,No,No,01/01/2019,,,,
4,MISLATA,AYUNTAMIENTO DE MISLATA,483867,26/11/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concurrencia competitiva - canónica,"15,000.00 €",COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS,ES523 - Valencia / València,"COMERCIO, TURISMO Y PYMES","Resolución nº 3619, de fecha 20 de Noviembre de 2019, por la que se aprueba la convocatoria para la concesión de ayudas a los emprendedores a través del “Cheque Emprende Mislata 2019”.",.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,"Resolución nº 3619, de fecha 20 de Noviembre de 2019, por la que se aprueban las bases reguladoras para la concesión de ayudas a los emprendedores a través del “Cheque Emprende Mislata 2019",https://www.mislata.es/es/transparencia/contratos-convenios-y-subvenciones/convenios-y-subvenciones/subvenciones/convocatorias-de-subvenciones/i/26239/439/xec-empren-mislata-2019,Sí,No,"Esta convocatoria no será válida mientras no se publique su extracto en el diario oficial; la publicación del extracto se puede consultar en la tabla ""Extracto de la convocatoria"" que se muestra más abajo.",El  día siguiente al de la publicación del extracto de la convocatoria en el BOP,,,
5,CANARIAS,SERVICIO CANARIO DE EMPLEO,483858,26/11/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"5,000.00 €",Establecimientos de bebidas,ES70 - CANARIAS,FOMENTO DEL EMPLEO,19-35/04900 SUBVENCION PROMOCION EMPLEO AUTONOMO – ESTABLECIMIENTO.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,PROMOCION EMPLEO AUTONOMO,http://www.gobiernodecanarias.org/boc/2018/068/006,No,No,29/01/2019,,,,
6,CANARIAS,SERVICIO CANARIO DE EMPLEO,483857,26/11/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"3,006.83 €",OTROS SERVICIOS,ES70 - CANARIAS,FOMENTO DEL EMPLEO,SUBVENCIÓN 50%SMI MANTENIMIENTO PUESTOS CEE.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,SUBVENCIÓN 50% SMI MANTENIMIENTO PUESTOS CEE,HTTPS://BOE.ES/ELI/ES/O/1998/10/16/(1),No,No,,,,,
7,CANARIAS,SERVICIO CANARIO DE EMPLEO,483856,26/11/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"1,087.30 €",Seguros,ES7 - CANARIAS,FOMENTO DEL EMPLEO,SUBVENCION 50% SMI MANTENIMIENTO DE PUESTOS.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,SUBVENCION 50% SMI MANTENIMIENTO PUESTOS CEE,HTTPS://BOE.ES/EL/ES/O/1998/10/16(01),No,No,01/01/2019,,,,
8,CANARIAS,SERVICIO CANARIO DE EMPLEO,483855,26/11/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,509.82 €,Otra educación,ES7 - CANARIAS,FOMENTO DEL EMPLEO,SUBVENCION 50% SMI MANTENMIENTO DE PUESTOS.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,SUBVENCION 50% SMI MANTENIMIENTO PUESTOS CEE,HTTPS://BOE.ES/EL/ES/O/1998/10/16(01),No,No,01/01/2019,,,,
9,CANARIAS,SERVICIO CANARIO DE EMPLEO,483854,26/11/2019,Instrumento de ayuda,SUBVENCIÓN Y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN ,Tipo de convocatoria,Concesión directa - instrumental,"28,109.77 €",OTROS SERVICIOS,ES70 - CANARIAS,FOMENTO DEL EMPLEO,SUBVENCIÓN 50% MANTENIMIENTO PUESTOS CEE.,.,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,SUBVENCION 50% SMI MANTENIMIENTO PUESTOS CEE,HTTPS://BOE.ES/ELI/ES/O/1998/10/16(1),No,No,,,,,
